Frequency,Magnitue,Phase
1.01999959659371e+00,-2.77187288974329e+01,8.30743407236400e+01
1.02023448722206e+00,-2.77167449237178e+01,8.30731099721870e+01
1.02046943194219e+00,-2.77147609565072e+01,8.30718788663596e+01
1.02070443076658e+00,-2.77127769958040e+01,8.30706474061000e+01
1.02093948370767e+00,-2.77107930416108e+01,8.30694155913500e+01
1.02117459077794e+00,-2.77088090939304e+01,8.30681834220520e+01
1.02140975198984e+00,-2.77068251527654e+01,8.30669508981479e+01
1.02164496735585e+00,-2.77048412181186e+01,8.30657180195798e+01
1.02188023688843e+00,-2.77028572899927e+01,8.30644847862897e+01
1.02211556060006e+00,-2.77008733683903e+01,8.30632511982197e+01
1.02235093850322e+00,-2.76988894533143e+01,8.30620172553118e+01
1.02258637061039e+00,-2.76969055447672e+01,8.30607829575079e+01
1.02282185693404e+00,-2.76949216427519e+01,8.30595483047502e+01
1.02305739748666e+00,-2.76929377472710e+01,8.30583132969804e+01
1.02329299228075e+00,-2.76909538583273e+01,8.30570779341406e+01
1.02352864132878e+00,-2.76889699759235e+01,8.30558422161726e+01
1.02376434464327e+00,-2.76869861000623e+01,8.30546061430185e+01
1.02400010223669e+00,-2.76850022307464e+01,8.30533697146202e+01
1.02423591412156e+00,-2.76830183679786e+01,8.30521329309194e+01
1.02447178031037e+00,-2.76810345117615e+01,8.30508957918582e+01
1.02470770081564e+00,-2.76790506620978e+01,8.30496582973783e+01
1.02494367564986e+00,-2.76770668189904e+01,8.30484204474216e+01
1.02517970482555e+00,-2.76750829824419e+01,8.30471822419298e+01
1.02541578835522e+00,-2.76730991524551e+01,8.30459436808450e+01
1.02565192625140e+00,-2.76711153290327e+01,8.30447047641088e+01
1.02588811852659e+00,-2.76691315121773e+01,8.30434654916630e+01
1.02612436519333e+00,-2.76671477018919e+01,8.30422258634494e+01
1.02636066626414e+00,-2.76651638981789e+01,8.30409858794098e+01
1.02659702175154e+00,-2.76631801010413e+01,8.30397455394858e+01
1.02683343166808e+00,-2.76611963104816e+01,8.30385048436192e+01
1.02706989602627e+00,-2.76592125265027e+01,8.30372637917517e+01
1.02730641483867e+00,-2.76572287491074e+01,8.30360223838251e+01
1.02754298811780e+00,-2.76552449782982e+01,8.30347806197809e+01
1.02777961587622e+00,-2.76532612140780e+01,8.30335384995609e+01
1.02801629812646e+00,-2.76512774564494e+01,8.30322960231067e+01
1.02825303488109e+00,-2.76492937054153e+01,8.30310531903598e+01
1.02848982615264e+00,-2.76473099609783e+01,8.30298100012621e+01
1.02872667195367e+00,-2.76453262231412e+01,8.30285664557549e+01
1.02896357229674e+00,-2.76433424919068e+01,8.30273225537800e+01
