Frequency,Magnitude,Phase
1.19124200802737e+00,-2.55939710433576e+01,8.62897969488861e+01
1.19398810446427e+00,-2.55740208636914e+01,8.62827291629008e+01
1.19674053130724e+00,-2.55540709077283e+01,8.62756417620242e+01
1.19949930314938e+00,-2.55341211765224e+01,8.62685347093228e+01
1.20226443461741e+00,-2.55141716711332e+01,8.62614079677674e+01
1.20503594037179e+00,-2.54942223926237e+01,8.62542615002261e+01
1.20781383510678e+00,-2.54742733420625e+01,8.62470952694681e+01
1.21059813355048e+00,-2.54543245205229e+01,8.62399092381655e+01
1.21338885046497e+00,-2.54343759290822e+01,8.62327033688845e+01
1.21618600064636e+00,-2.54144275688239e+01,8.62254776240930e+01
1.21898959892486e+00,-2.53944794408354e+01,8.62182319661603e+01
1.22179966016487e+00,-2.53745315462088e+01,8.62109663573523e+01
1.22461619926504e+00,-2.53545838860419e+01,8.62036807598345e+01
1.22743923115840e+00,-2.53346364614364e+01,8.61963751356697e+01
1.23026877081238e+00,-2.53146892734997e+01,8.61890494468240e+01
1.23310483322890e+00,-2.52947423233440e+01,8.61817036551562e+01
1.23594743344451e+00,-2.52747956120862e+01,8.61743377224287e+01
1.23879658653036e+00,-2.52548491408481e+01,8.61669516102955e+01
1.24165230759241e+00,-2.52349029107570e+01,8.61595452803163e+01
1.24451461177138e+00,-2.52149569229450e+01,8.61521186939416e+01
1.24738351424294e+00,-2.51950111785495e+01,8.61446718125227e+01
1.25025903021771e+00,-2.51750656787122e+01,8.61372045973094e+01
1.25314117494141e+00,-2.51551204245811e+01,8.61297170094461e+01
1.25602996369487e+00,-2.51351754173080e+01,8.61222090099775e+01
1.25892541179416e+00,-2.51152306580513e+01,8.61146805598415e+01
1.26182753459066e+00,-2.50952861479733e+01,8.61071316198747e+01
1.26473634747115e+00,-2.50753418882423e+01,8.60995621508099e+01
1.26765186585784e+00,-2.50553978800309e+01,8.60919721132779e+01
1.27057410520854e+00,-2.50354541245184e+01,8.60843614678018e+01
1.27350308101666e+00,-2.50155106228885e+01,8.60767301748050e+01
1.27643880881134e+00,-2.49955673763297e+01,8.60690781946054e+01
1.27938130415752e+00,-2.49756243860372e+01,8.60614054874149e+01
1.28233058265602e+00,-2.49556816532100e+01,8.60537120133428e+01
1.28528665994361e+00,-2.49357391790538e+01,8.60459977323936e+01
1.28824955169313e+00,-2.49157969647789e+01,8.60382626044646e+01
1.29121927361353e+00,-2.48958550116015e+01,8.60305065893524e+01
1.29419584144998e+00,-2.48759133207426e+01,8.60227296467445e+01
1.29717927098395e+00,-2.48559718934296e+01,8.60149317362234e+01
1.30016957803328e+00,-2.48360307308944e+01,8.60071128172699e+01
1.30316677845229e+00,-2.48160898343751e+01,8.59992728492554e+01
1.30617088813183e+00,-2.47961492051152e+01,8.59914117914459e+01
1.30918192299940e+00,-2.47762088443638e+01,8.59835296030023e+01
1.31219989901920e+00,-2.47562687533752e+01,8.59756262429783e+01
1.31522483219223e+00,-2.47363289334100e+01,8.59677016703223e+01
1.31825673855640e+00,-2.47163893857340e+01,8.59597558438755e+01
1.32129563418657e+00,-2.46964501116188e+01,8.59517887223720e+01
1.32434153519466e+00,-2.46765111123418e+01,8.59438002644393e+01
1.32739445772973e+00,-2.46565723891860e+01,8.59357904285987e+01
1.33045441797808e+00,-2.46366339434403e+01,8.59277591732603e+01
1.33352143216332e+00,-2.46166957763987e+01,8.59197064567351e+01
1.33659551654643e+00,-2.45967578893624e+01,8.59116322372163e+01
1.33967668742593e+00,-2.45768202836372e+01,8.59035364727941e+01
1.34276496113786e+00,-2.45568829605353e+01,8.58954191214515e+01
1.34586035405594e+00,-2.45369459213745e+01,8.58872801410628e+01
1.34896288259164e+00,-2.45170091674789e+01,8.58791194893940e+01
1.35207256319427e+00,-2.44970727001780e+01,8.58709371241013e+01
1.35518941235103e+00,-2.44771365208081e+01,8.58627330027333e+01
1.35831344658715e+00,-2.44572006307106e+01,8.58545070827276e+01
1.36144468246594e+00,-2.44372650312337e+01,8.58462593214147e+01
1.36458313658892e+00,-2.44173297237311e+01,8.58379896760167e+01
1.36772882559584e+00,-2.43973947095629e+01,8.58296981036436e+01
1.37088176616484e+00,-2.43774599900950e+01,8.58213845612980e+01
1.37404197501251e+00,-2.43575255666999e+01,8.58130490058702e+01
1.37720946889394e+00,-2.43375914407557e+01,8.58046913941432e+01
1.38038426460288e+00,-2.43176576136469e+01,8.57963116827892e+01
1.38356637897177e+00,-2.42977240867646e+01,8.57879098283685e+01
1.38675582887188e+00,-2.42777908615059e+01,8.57794857873306e+01
1.38995263121334e+00,-2.42578579392743e+01,8.57710395160178e+01
1.39315680294529e+00,-2.42379253214789e+01,8.57625709706582e+01
1.39636836105593e+00,-2.42179930095361e+01,8.57540801073675e+01
1.39958732257261e+00,-2.41980610048681e+01,8.57455668821544e+01
1.40281370456195e+00,-2.41781293089039e+01,8.57370312509122e+01
1.40604752412990e+00,-2.41581979230779e+01,8.57284731694272e+01
1.40928879842186e+00,-2.41382668488329e+01,8.57198925933665e+01
1.41253754462274e+00,-2.41183360876162e+01,8.57112894782923e+01
1.41579377995707e+00,-2.40984056408828e+01,8.57026637796518e+01
1.41905752168908e+00,-2.40784755100936e+01,8.56940154527792e+01
1.42232878712281e+00,-2.40585456967162e+01,8.56853444528952e+01
1.42560759360218e+00,-2.40386162022255e+01,8.56766507351119e+01
1.42889395851109e+00,-2.40186870281022e+01,8.56679342544216e+01
1.43218789927353e+00,-2.39987581758337e+01,8.56591949657111e+01
1.43548943335364e+00,-2.39788296469147e+01,8.56504328237497e+01
1.43879857825583e+00,-2.39589014428463e+01,8.56416477831898e+01
1.44211535152486e+00,-2.39389735651360e+01,8.56328397985784e+01
1.44543977074592e+00,-2.39190460152984e+01,8.56240088243417e+01
