Frequency,Magnitude,Phase
1.02470770081564e+00,-3.81482641406927e+01,8.83612557226758e+01
1.02494367564986e+00,-3.81462646271488e+01,8.83612559526279e+01
1.02517970482555e+00,-3.81442651133672e+01,8.83612560957199e+01
1.02541578835522e+00,-3.81422655993479e+01,8.83612561519518e+01
1.02565192625140e+00,-3.81402660850911e+01,8.83612561213239e+01
1.02588811852659e+00,-3.81382665705967e+01,8.83612560038358e+01
1.02612436519333e+00,-3.81362670558650e+01,8.83612557994875e+01
1.02636066626414e+00,-3.81342675408962e+01,8.83612555082793e+01
1.02659702175154e+00,-3.81322680256900e+01,8.83612551302106e+01
1.02683343166808e+00,-3.81302685102469e+01,8.83612546652820e+01
1.02706989602627e+00,-3.81282689945668e+01,8.83612541134934e+01
1.02730641483867e+00,-3.81262694786499e+01,8.83612534748437e+01
1.02754298811780e+00,-3.81242699624962e+01,8.83612527493338e+01
1.02777961587622e+00,-3.81222704461059e+01,8.83612519369635e+01
1.02801629812646e+00,-3.81202709294791e+01,8.83612510377327e+01
1.02825303488109e+00,-3.81182714126158e+01,8.83612500516413e+01
1.02848982615264e+00,-3.81162718955162e+01,8.83612489786888e+01
1.02872667195367e+00,-3.81142723781802e+01,8.83612478188757e+01
1.02896357229674e+00,-3.81122728606083e+01,8.83612465722016e+01
1.02920052719442e+00,-3.81102733428003e+01,8.83612452386664e+01
1.02943753665926e+00,-3.81082738247564e+01,8.83612438182702e+01
1.02967460070382e+00,-3.81062743064766e+01,8.83612423110126e+01
1.02991171934069e+00,-3.81042747879612e+01,8.83612407168936e+01
1.03014889258242e+00,-3.81022752692101e+01,8.83612390359134e+01
1.03038612044160e+00,-3.81002757502235e+01,8.83612372680714e+01
1.03062340293081e+00,-3.80982762310015e+01,8.83612354133680e+01
1.03086074006261e+00,-3.80962767115441e+01,8.83612334718024e+01
1.03109813184961e+00,-3.80942771918516e+01,8.83612314433751e+01
1.03133557830437e+00,-3.80922776719240e+01,8.83612293280853e+01
1.03157307943950e+00,-3.80902781517613e+01,8.83612271259329e+01
1.03181063526758e+00,-3.80882786313638e+01,8.83612248369186e+01
1.03204824580121e+00,-3.80862791107314e+01,8.83612224610416e+01
1.03228591105299e+00,-3.80842795898644e+01,8.83612199983020e+01
1.03252363103551e+00,-3.80822800687627e+01,8.83612174486994e+01
1.03276140576139e+00,-3.80802805474265e+01,8.83612148122336e+01
1.03299923524322e+00,-3.80782810258560e+01,8.83612120889043e+01
1.03323711949362e+00,-3.80762815040512e+01,8.83612092787121e+01
1.03347505852520e+00,-3.80742819820121e+01,8.83612063816559e+01
1.03371305235057e+00,-3.80722824597389e+01,8.83612033977363e+01
1.03395110098236e+00,-3.80702829372318e+01,8.83612003269519e+01
1.03418920443318e+00,-3.80682834144908e+01,8.83611971693041e+01
1.03442736271566e+00,-3.80662838915161e+01,8.83611939247916e+01
1.03466557584242e+00,-3.80642843683075e+01,8.83611905934144e+01
1.03490384382610e+00,-3.80622848448654e+01,8.83611871751724e+01
1.03514216667933e+00,-3.80602853211898e+01,8.83611836700654e+01
1.03538054441474e+00,-3.80582857972809e+01,8.83611800780933e+01
1.03561897704497e+00,-3.80562862731387e+01,8.83611763992556e+01
1.03585746458267e+00,-3.80542867487632e+01,8.83611726335524e+01
1.03609600704047e+00,-3.80522872241547e+01,8.83611687809830e+01
1.03633460443103e+00,-3.80502876993132e+01,8.83611648415478e+01
1.03657325676699e+00,-3.80482881742388e+01,8.83611608152454e+01
1.03681196406101e+00,-3.80462886489317e+01,8.83611567020774e+01
1.03705072632575e+00,-3.80442891233919e+01,8.83611525020420e+01
1.03728954357386e+00,-3.80422895976195e+01,8.83611482151392e+01
1.03752841581800e+00,-3.80402900716145e+01,8.83611438413695e+01
1.03776734307084e+00,-3.80382905453773e+01,8.83611393807315e+01
1.03800632534505e+00,-3.80362910189078e+01,8.83611348332260e+01
1.03824536265330e+00,-3.80342914922060e+01,8.83611301988519e+01
1.03848445500826e+00,-3.80322919652723e+01,8.83611254776090e+01
1.03872360242261e+00,-3.80302924381064e+01,8.83611206694981e+01
1.03896280490902e+00,-3.80282929107088e+01,8.83611157745178e+01
1.03920206248019e+00,-3.80262933830794e+01,8.83611107926677e+01
1.03944137514879e+00,-3.80242938552182e+01,8.83611057239488e+01
1.03968074292751e+00,-3.80222943271256e+01,8.83611005683594e+01
1.03992016582904e+00,-3.80202947988015e+01,8.83610953258994e+01
1.04015964386609e+00,-3.80182952702459e+01,8.83610899965691e+01
1.04039917705134e+00,-3.80162957414591e+01,8.83610845803680e+01
1.04063876539749e+00,-3.80142962124411e+01,8.83610790772954e+01
1.04087840891725e+00,-3.80122966831920e+01,8.83610734873517e+01
1.04111810762332e+00,-3.80102971537120e+01,8.83610678105356e+01
1.04135786152842e+00,-3.80082976240010e+01,8.83610620468479e+01
1.04159767064525e+00,-3.80062980940594e+01,8.83610561962867e+01
1.04183753498652e+00,-3.80042985638869e+01,8.83610502588532e+01
1.04207745456496e+00,-3.80022990334840e+01,8.83610442345465e+01
1.04231742939329e+00,-3.80002995028505e+01,8.83610381233661e+01
1.04255745948422e+00,-3.79982999719867e+01,8.83610319253116e+01
1.04279754485049e+00,-3.79963004408926e+01,8.83610256403828e+01
1.04303768550482e+00,-3.79943009095683e+01,8.83610192685793e+01
1.04327788145995e+00,-3.79923013780140e+01,8.83610128099006e+01
1.04351813272861e+00,-3.79903018462296e+01,8.83610062643468e+01
1.04375843932353e+00,-3.79883023142154e+01,8.83609996319170e+01
1.04399880125747e+00,-3.79863027819713e+01,8.83609929126109e+01
1.04423921854316e+00,-3.79843032494977e+01,8.83609861064279e+01
1.04447969119335e+00,-3.79823037167945e+01,8.83609792133685e+01
1.04472021922078e+00,-3.79803041838617e+01,8.83609722334317e+01
1.04496080263822e+00,-3.79783046506995e+01,8.83609651666168e+01
1.04520144145842e+00,-3.79763051173080e+01,8.83609580129243e+01
1.04544213569413e+00,-3.79743055836874e+01,8.83609507723524e+01
1.04568288535812e+00,-3.79723060498377e+01,8.83609434449016e+01
1.04592369046315e+00,-3.79703065157590e+01,8.83609360305718e+01
1.04616455102199e+00,-3.79683069814514e+01,8.83609285293617e+01
1.04640546704741e+00,-3.79663074469149e+01,8.83609209412714e+01
1.04664643855218e+00,-3.79643079121498e+01,8.83609132663005e+01
1.04688746554908e+00,-3.79623083771561e+01,8.83609055044480e+01
1.04712854805088e+00,-3.79603088419339e+01,8.83608976557146e+01
1.04736968607038e+00,-3.79583093064834e+01,8.83608897200984e+01
1.04761087962034e+00,-3.79563097708044e+01,8.83608816976000e+01
1.04785212871357e+00,-3.79543102348973e+01,8.83608735882188e+01
1.04809343336286e+00,-3.79523106987621e+01,8.83608653919535e+01
1.04833479358098e+00,-3.79503111623989e+01,8.83608571088048e+01
1.04857620938076e+00,-3.79483116258077e+01,8.83608487387719e+01
1.04881768077497e+00,-3.79463120889888e+01,8.83608402818534e+01
1.04905920777643e+00,-3.79443125519421e+01,8.83608317380501e+01
1.04930079039794e+00,-3.79423130146679e+01,8.83608231073607e+01
1.04954242865230e+00,-3.79403134771661e+01,8.83608143897850e+01
1.04978412255234e+00,-3.79383139394369e+01,8.83608055853226e+01
1.05002587211087e+00,-3.79363144014804e+01,8.83607966939731e+01
1.05026767734069e+00,-3.79343148632966e+01,8.83607877157354e+01
1.05050953825464e+00,-3.79323153248858e+01,8.83607786506095e+01
1.05075145486553e+00,-3.79303157862479e+01,8.83607694985947e+01
1.05099342718620e+00,-3.79283162473830e+01,8.83607602596905e+01
1.05123545522946e+00,-3.79263167082914e+01,8.83607509338965e+01
1.05147753900816e+00,-3.79243171689729e+01,8.83607415212120e+01
1.05171967853513e+00,-3.79223176294280e+01,8.83607320216364e+01
1.05196187382320e+00,-3.79203180896564e+01,8.83607224351701e+01
1.05220412488522e+00,-3.79183185496584e+01,8.83607127618106e+01
1.05244643173404e+00,-3.79163190094340e+01,8.83607030015593e+01
1.05268879438248e+00,-3.79143194689835e+01,8.83606931544144e+01
1.05293121284342e+00,-3.79123199283067e+01,8.83606832203763e+01
1.05317368712970e+00,-3.79103203874039e+01,8.83606731994438e+01
1.05341621725417e+00,-3.79083208462751e+01,8.83606630916165e+01
1.05365880322970e+00,-3.79063213049205e+01,8.83606528968937e+01
1.05390144506914e+00,-3.79043217633402e+01,8.83606426152751e+01
