Frequency,Magnitude,Phase
1.02140975198984e+00,-8.83324285569253e+00,-1.11906789978039e+02
1.02164496735585e+00,-8.83149023555185e+00,-1.11911059694985e+02
1.02188023688843e+00,-8.82973771486980e+00,-1.11915330235794e+02
1.02211556060006e+00,-8.82798529368153e+00,-1.11919601600493e+02
1.02235093850322e+00,-8.82623297202116e+00,-1.11923873789109e+02
1.02258637061039e+00,-8.82448074992378e+00,-1.11928146801670e+02
1.02282185693404e+00,-8.82272862742419e+00,-1.11932420638202e+02
1.02305739748666e+00,-8.82097660455677e+00,-1.11936695298732e+02
1.02329299228075e+00,-8.81922468135657e+00,-1.11940970783289e+02
1.02352864132878e+00,-8.81747285785814e+00,-1.11945247091898e+02
1.02376434464327e+00,-8.81572113409632e+00,-1.11949524224587e+02
1.02400010223669e+00,-8.81396951010600e+00,-1.11953802181382e+02
1.02423591412156e+00,-8.81221798592157e+00,-1.11958080962310e+02
1.02447178031037e+00,-8.81046656157807e+00,-1.11962360567399e+02
1.02470770081564e+00,-8.80871523711041e+00,-1.11966640996674e+02
1.02494367564986e+00,-8.80696401255309e+00,-1.11970922250162e+02
1.02517970482555e+00,-8.80521288794098e+00,-1.11975204327890e+02
1.02541578835522e+00,-8.80346186330901e+00,-1.11979487229885e+02
1.02565192625140e+00,-8.80171093869176e+00,-1.11983770956172e+02
1.02588811852659e+00,-8.79996011412435e+00,-1.11988055506778e+02
1.02612436519333e+00,-8.79820938964125e+00,-1.11992340881730e+02
1.02636066626414e+00,-8.79645876527767e+00,-1.11996627081054e+02
1.02659702175154e+00,-8.79470824106829e+00,-1.12000914104775e+02
1.02683343166808e+00,-8.79295781704766e+00,-1.12005201952920e+02
1.02706989602627e+00,-8.79120749325119e+00,-1.12009490625515e+02
1.02730641483867e+00,-8.78945726971313e+00,-1.12013780122587e+02
1.02754298811780e+00,-8.78770714646902e+00,-1.12018070444161e+02
1.02777961587622e+00,-8.78595712355325e+00,-1.12022361590262e+02
1.02801629812646e+00,-8.78420720100084e+00,-1.12026653560917e+02
1.02825303488109e+00,-8.78245737884666e+00,-1.12030946356151e+02
1.02848982615264e+00,-8.78070765712559e+00,-1.12035239975991e+02
1.02872667195367e+00,-8.77895803587259e+00,-1.12039534420462e+02
1.02896357229674e+00,-8.77720851512258e+00,-1.12043829689589e+02
1.02920052719442e+00,-8.77545909491052e+00,-1.12048125783398e+02
1.02943753665926e+00,-8.77370977527129e+00,-1.12052422701914e+02
1.02967460070382e+00,-8.77196055623972e+00,-1.12056720445163e+02
1.02991171934069e+00,-8.77021143785077e+00,-1.12061019013170e+02
1.03014889258242e+00,-8.76846242013953e+00,-1.12065318405961e+02
1.03038612044160e+00,-8.76671350314087e+00,-1.12069618623560e+02
1.03062340293081e+00,-8.76496468688961e+00,-1.12073919665993e+02
1.03086074006261e+00,-8.76321597142111e+00,-1.12078221533285e+02
1.03109813184961e+00,-8.76146735676987e+00,-1.12082524225461e+02
1.03133557830437e+00,-8.75971884297138e+00,-1.12086827742545e+02
1.03157307943950e+00,-8.75797043006022e+00,-1.12091132084564e+02
1.03181063526758e+00,-8.75622211807154e+00,-1.12095437251541e+02
1.03204824580121e+00,-8.75447390704022e+00,-1.12099743243502e+02
1.03228591105299e+00,-8.75272579700161e+00,-1.12104050060470e+02
1.03252363103551e+00,-8.75097778799041e+00,-1.12108357702471e+02
1.03276140576139e+00,-8.74922988004179e+00,-1.12112666169530e+02
1.03299923524322e+00,-8.74748207319084e+00,-1.12116975461671e+02
1.03323711949362e+00,-8.74573436747227e+00,-1.12121285578918e+02
1.03347505852520e+00,-8.74398676292151e+00,-1.12125596521296e+02
1.03371305235057e+00,-8.74223925957348e+00,-1.12129908288829e+02
1.03395110098236e+00,-8.74049185746343e+00,-1.12134220881542e+02
1.03418920443318e+00,-8.73874455662596e+00,-1.12138534299458e+02
1.03442736271566e+00,-8.73699735709667e+00,-1.12142848542602e+02
1.03466557584242e+00,-8.73525025891027e+00,-1.12147163610998e+02
1.03490384382610e+00,-8.73350326210206e+00,-1.12151479504670e+02
1.03514216667933e+00,-8.73175636670701e+00,-1.12155796223642e+02
1.03538054441474e+00,-8.73000957276038e+00,-1.12160113767938e+02
1.03561897704497e+00,-8.72826288029729e+00,-1.12164432137581e+02
1.03585746458267e+00,-8.72651628935260e+00,-1.12168751332596e+02
1.03609600704047e+00,-8.72476979996168e+00,-1.12173071353007e+02
1.03633460443103e+00,-8.72302341215962e+00,-1.12177392198836e+02
