Frequency (Hz),Trace 1: Impedance: Real (Ω),Trace 1: Impedance: Imaginary (Ω),Trace 1: Impedance: Cs (F),Trace 2: Impedance: Real (Ω),Trace 2: Impedance: Imaginary (Ω),Trace 2: Impedance: Phase (°)
137.675083,138184.31973101,-1272393.11073282,9.08538793061388E-10,138184.31973101,-1272393.11073282,-83.8018605715691
140.316235,99509.8980276177,-1249775.08285165,9.07570449485921E-10,99509.8980276177,-1249775.08285165,-85.4475855044009
143.008054,111333.006957829,-1225674.14189586,9.07997412258355E-10,111333.006957829,-1225674.14189586,-84.8098325936111
145.751514,112079.236209125,-1198730.06597685,9.10931370941505E-10,112079.236209125,-1198730.06597685,-84.6584703827794
148.547603,112155.259702317,-1182735.50294617,9.05872028687611E-10,112155.259702317,-1182735.50294617,-84.5830111660979
151.397333,122224.510073039,-1157706.73596217,9.08036585037885E-10,122224.510073039,-1157706.73596217,-83.9733417150785
154.301731,117404.622706064,-1146475.85223483,8.99672450244624E-10,117404.622706064,-1146475.85223483,-84.1530192884631
157.261848,109123.547852156,-1115133.38712493,9.07548697952704E-10,109123.547852156,-1115133.38712493,-84.4110046977803
160.278751,112773.974095773,-1090304.66290392,9.10743987343176E-10,112773.974095773,-1090304.66290392,-84.0946992870137
163.35353,101528.316504821,-1083336.47311742,8.99348972579551E-10,101528.316504821,-1083336.47311742,-84.6459825489427
166.487295,104967.434109146,-1061685.15063063,9.0041618194337E-10,104967.434109146,-1061685.15063063,-84.353590786058
169.681179,92846.217750131,-1044380.92382807,8.98105855445611E-10,92846.217750131,-1044380.92382807,-84.9197194912314
172.936334,100495.998170361,-1021261.14934933,9.01149969742893E-10,100495.998170361,-1021261.14934933,-84.3799699958888
176.253936,97952.7818014404,-997012.799782177,9.05692087496781E-10,97952.7818014404,-997012.799782177,-84.3889108965775
179.635182,94670.8322399486,-978669.857558383,9.05300000900018E-10,94670.8322399486,-978669.857558383,-84.4747308403332
183.081294,98831.5312242109,-963483.432557154,9.02260421644359E-10,98831.5312242109,-963483.432557154,-84.1432380050842
186.593516,79298.5131177896,-949077.439700473,8.98714882178652E-10,79298.5131177896,-949077.439700473,-85.2238446276328
190.173116,90007.9951335364,-928261.471649924,9.01572557786299E-10,90007.9951335364,-928261.471649924,-84.4616827940073
193.821388,87350.0170857555,-920223.232139391,8.92329475678253E-10,87350.0170857555,-920223.232139391,-84.5775803827379
197.539647,88134.8069704747,-894311.237198574,9.00901210586234E-10,88134.8069704747,-894311.237198574,-84.3716473617049
201.329237,87449.4120023013,-872242.961709343,9.06307993174938E-10,87449.4120023013,-872242.961709343,-84.2747662678729
205.191527,79381.2463029793,-863748.121971066,8.97994325024299E-10,79381.2463029793,-863748.121971066,-84.7490828224906
209.127911,87426.3765288725,-846361.0527263,8.99192057804149E-10,87426.3765288725,-846361.0527263,-84.102446846933
213.139809,82125.4691945495,-835087.297798794,8.94177384556313E-10,82125.4691945495,-835087.297798794,-84.3833887633893
217.228673,80788.5919962559,-823857.452926456,8.89305355283774E-10,80788.5919962559,-823857.452926456,-84.3994033001609
221.395976,78911.6393079452,-804835.231054772,8.93189130859401E-10,78911.6393079452,-804835.231054772,-84.4002217637279
225.643225,72790.821900007,-791223.768161662,8.9145311838807E-10,72790.821900007,-791223.768161662,-84.7437117803515
