Frequency (Hz),Trace 1: Impedance: Real (Ω),Trace 1: Impedance: Imaginary (Ω),Trace 1: Impedance: Rs (Ω),Trace 2: Impedance: Real (Ω),Trace 2: Impedance: Imaginary (Ω),Trace 2: Impedance: Phase (°)
65.615271,150509.357942595,-2504570.22477947,150509.357942595,150509.357942595,-2504570.22477947,-86.5610096834433
66.87403,204025.714011701,-2448662.22603413,204025.714011701,204025.714011701,-2448662.22603413,-85.2370431518987
68.156938,118806.374012051,-2426197.60513298,118806.374012051,118806.374012051,-2426197.60513298,-87.1965718120463
69.464458,160034.502353126,-2403169.17586553,160034.502353126,160034.502353126,-2403169.17586553,-86.1901211889202
70.79706,137615.82639799,-2311600.75960296,137615.82639799,137615.82639799,-2311600.75960296,-86.5930488580642
72.155227,122853.316053197,-2258405.21576388,122853.316053197,122853.316053197,-2258405.21576388,-86.8862781649176
73.539449,115721.647806092,-2237770.02353929,115721.647806092,115721.647806092,-2237770.02353929,-87.0397042375968
74.950226,118144.552675768,-2188240.7263573,118144.552675768,118144.552675768,-2188240.7263573,-86.9095638021273
76.388068,133959.916806066,-2174534.97237695,133959.916806066,133959.916806066,-2174534.97237695,-86.4748092878312
77.853492,128282.573727551,-2119714.35030427,128282.573727551,128282.573727551,-2119714.35030427,-86.5367520026487
79.34703,126952.884665498,-2113715.00258113,126952.884665498,126952.884665498,-2113715.00258113,-86.562858841863
80.869219,114418.317822224,-2053874.17654463,114418.317822224,114418.317822224,-2053874.17654463,-86.8114319480643
82.42061,117931.620314544,-1976651.31372299,117931.620314544,117931.620314544,-1976651.31372299,-86.5856477690901
84.001763,137821.880766218,-2007835.31863928,137821.880766218,137821.880766218,-2007835.31863928,-86.0732612206159
85.613248,116636.001400515,-1939649.25853133,116636.001400515,116636.001400515,-1939649.25853133,-86.558803991951
87.255648,146932.329471057,-1895725.23901181,146932.329471057,146932.329471057,-1895725.23901181,-85.5680259914776
88.929556,127364.67257671,-1863850.69823045,127364.67257671,127364.67257671,-1863850.69823045,-86.090818170552
90.635576,90745.47765532,-1837148.91907978,90745.47765532,90745.47765532,-1837148.91907978,-87.172188660169
92.374324,117159.341085696,-1823106.0236324,117159.341085696,117159.341085696,-1823106.0236324,-86.3230235952218
94.146428,96111.7326770653,-1764669.9437872,96111.7326770653,96111.7326770653,-1764669.9437872,-86.882498473825
95.952529,138562.822233445,-1763121.88711407,138562.822233445,138562.822233445,-1763121.88711407,-85.5063909213601
97.793277,128363.748214757,-1715909.83415943,128363.748214757,128363.748214757,-1715909.83415943,-85.7217872349003
99.669338,115618.09385336,-1686665.89119952,115618.09385336,115618.09385336,-1686665.89119952,-86.0786055942878
101.581389,85367.9339581064,-1648324.33949318,85367.9339581064,85367.9339581064,-1648324.33949318,-87.0352581594749
103.530121,76671.9738926044,-1628795.97807615,76671.9738926044,76671.9738926044,-1628795.97807615,-87.3049171585297
105.516238,107905.147895027,-1594644.68373874,107905.147895027,107905.147895027,-1594644.68373874,-86.1288560376735
107.540456,78048.651881837,-1557023.25160116,78048.651881837,78048.651881837,-1557023.25160116,-87.1303456757761
109.603507,102487.520229119,-1542436.37734175,102487.520229119,102487.520229119,-1542436.37734175,-86.1985573244463
111.706134,88506.4393028649,-1521376.25073996,88506.4393028649,88506.4393028649,-1521376.25073996,-86.6705564969636
113.849099,97463.7920013063,-1472908.66262763,97463.7920013063,97463.7920013063,-1472908.66262763,-86.2142018643814
116.033174,81990.9195691741,-1468775.67613949,81990.9195691741,81990.9195691741,-1468775.67613949,-86.8049150118641
118.259149,102587.974334135,-1424655.61290474,102587.974334135,102587.974334135,-1424655.61290474,-85.8812993620605
120.527826,82916.832281522,-1398156.89033711,82916.832281522,82916.832281522,-1398156.89033711,-86.6060842114584
122.840026,78393.3777828045,-1363893.41142695,78393.3777828045,78393.3777828045,-1363893.41142695,-86.7103930899713
125.196582,102950.101973766,-1339450.84916302,102950.101973766,102950.101973766,-1339450.84916302,-85.6048912843875
127.598347,82285.7507819732,-1333784.45102509,82285.7507819732,82285.7507819732,-1333784.45102509,-86.4697006049285
130.046187,85885.0395136936,-1299539.23658929,85885.0395136936,85885.0395136936,-1299539.23658929,-86.2188870154397
132.540986,90995.8814348334,-1279481.05996578,90995.8814348334,90995.8814348334,-1279481.05996578,-85.9320098590717
135.083646,86944.1380516022,-1244626.55138211,86944.1380516022,86944.1380516022,-1244626.55138211,-86.004060148427
137.675083,80799.773435885,-1241363.38360255,80799.773435885,80799.773435885,-1241363.38360255,-86.2758972926897
140.316235,74191.8453550123,-1213823.38275733,74191.8453550123,74191.8453550123,-1213823.38275733,-86.5022936505727
143.008054,84774.5284185038,-1183730.74624796,84774.5284185038,84774.5284185038,-1183730.74624796,-85.9036765054271
145.751514,80206.5992150215,-1157472.14594301,80206.5992150215,80206.5992150215,-1157472.14594301,-86.0360469264398
148.547603,73560.8924078235,-1141995.82738501,73560.8924078235,73560.8924078235,-1141995.82738501,-86.3144227132858
151.397333,65295.3374903403,-1127523.25224421,65295.3374903403,65295.3374903403,-1127523.25224421,-86.685679409313
154.301731,79929.6113309206,-1101329.78455152,79929.6113309206,79929.6113309206,-1101329.78455152,-85.8490053169728
157.261848,64075.6018217757,-1074277.70004992,64075.6018217757,64075.6018217757,-1074277.70004992,-86.5866207171423
160.278751,69990.9173481355,-1055493.3843671,69990.9173481355,69990.9173481355,-1055493.3843671,-86.206208510298
163.35353,78357.1746850973,-1042288.93976995,78357.1746850973,78357.1746850973,-1042288.93976995,-85.7007064734211
166.487295,64045.8426256005,-1026741.47892178,64045.8426256005,64045.8426256005,-1026741.47892178,-86.4306417576171
169.681179,71081.0233674373,-1003907.15616528,71081.0233674373,71081.0233674373,-1003907.15616528,-85.9499668104274
172.936334,72290.9870195293,-981300.878460606,72290.9870195293,72290.9870195293,-981300.878460606,-85.7867154138619
176.253936,69024.6048281155,-965821.873630584,69024.6048281155,69024.6048281155,-965821.873630584,-85.9121800368803
179.635182,59258.6862187572,-951417.651481331,59258.6862187572,59258.6862187572,-951417.651481331,-86.4359581775454
183.081294,67410.7631842395,-926616.472780754,67410.7631842395,67410.7631842395,-926616.472780754,-85.8390983779305
186.593516,65454.9243198157,-922718.955663542,65454.9243198157,65454.9243198157,-922718.955663542,-85.9424055924242
190.173116,58247.3423677631,-900799.685811634,58247.3423677631,58247.3423677631,-900799.685811634,-86.3003015170741
193.821388,62705.6150534084,-885699.31877638,62705.6150534084,62705.6150534084,-885699.31877638,-85.9503385777018
197.539647,56636.2267937188,-868174.564015944,56636.2267937188,56636.2267937188,-868174.564015944,-86.267541913747
201.329237,56491.260595121,-852649.695536497,56491.260595121,56491.260595121,-852649.695536497,-86.2094781155281
205.191527,58893.7598132221,-833678.249673762,58893.7598132221,58893.7598132221,-833678.249673762,-85.9591516230589
209.127911,54616.563987031,-819146.153506352,54616.563987031,54616.563987031,-819146.153506352,-86.1854502175704
213.139809,52278.0251309867,-809840.117669652,52278.0251309867,52278.0251309867,-809840.117669652,-86.3064809136686
